epoch,train_loss,train_acc,test_loss,test_acc
0,41.0496,15.79,2.7615,10.00
1,22.2206,18.41,2.5581,10.00
2,15.3446,19.99,2.5361,10.00
3,13.7993,20.09,2.4833,10.00
4,11.6926,20.87,2.4719,10.00
5,10.2445,20.61,2.4761,10.00
6,9.4473,21.24,2.4737,10.00
7,8.4318,21.75,2.5123,10.00
8,8.1780,21.97,2.4824,10.00
9,7.6813,21.77,2.4584,10.00
10,7.4080,22.32,2.4822,10.00
11,7.1551,21.96,2.5051,10.00
12,6.2531,23.07,2.5089,10.00
